MA,MA10002,Maths II,--,3-1-0,4,B3,F116,"['03', '10', '11']"
EE,EE11001,Electrical Technology,--,3-1-0,4,U4,F116,"['06', '07', '15', '16']"
HS,HS13001,English,--,3-0-2,4,V3,F116,"['36', '37', '46']"
CY,CY11001,Chemistry,--,3-1-0,4,D3,F116,"['04', '12', '13']"
MA,MA10002,Maths II,--,3-1-0,4,B3,F142,"['03', '10', '11']"
EE,EE11001,Electrical Technology,--,3-1-0,4,U4,F142,"['06', '07', '15', '16']"
HS,HS13001,English,--,3-0-2,4,V3,F142,"['36', '37', '46']"
CY,CY11001,Chemistry,--,3-1-0,4,D3,F142,"['04', '12', '13']"
MA,MA10002,Maths II,--,3-1-0,4,G3,F116,"['23', '34', '40']"
EE,EE11001,Electrical Technology,--,3-1-0,4,E4,F116,"['24', '33', '41', '42']"
HS,HS13001,English,--,3-0-2,4,F3,F116,"['22', '31', '43']"
CY,CY11001,Chemistry,--,3-1-0,4,C4,F116,"['20', '21', '32']"
MA,MA10002,Maths II,--,3-1-0,4,A3,F142,"['00', '01', '14']"
EE,EE11001,Electrical Technology,--,3-1-0,4,E4,F142,"['24', '33', '41', '42']"
HS,HS13001,English,--,3-0-2,4,F3,F142,"['22', '31', '43']"
CY,CY11001,Chemistry,--,3-1-0,4,C4,F142,"['20', '21', '32']"
MA,MA10002,Maths II,--,3-1-0,4,U4,V1,"['06', '07', '15']"
EE,EE11001,Electrical Technology,--,3-1-0,4,E4,V1,"['24', '33', '41', '42']"
HS,HS13001,English,--,3-0-2,4,F3,V1,"['22', '31', '43']"
CY,CY11001,Chemistry,--,3-1-0,4,C4,V1,"['20', '21', '32']"
